empire state building,museum
"cathedral of st john the divine,staten island ferry,studio museum","church,route,museum"
"radio city music hall,rockefeller center,pierpont morgan library","establishment,establishment,museum"
new york university,university
union sq,political
brooklyn bridge,establishment
chelsea art museum,art_gallery
"new york stock exchange,new york university","finance,university"
central park,park
new york university,university
"ellis island,new york university","establishment,university"
"empire state building,new york stock exchange,st patricks cathedral,brooklyn bridge","museum,finance,church,establishment"
"new york university,empire state building","university,museum"
statue of liberty,establishment
central park,park
"staten island ferry,rockefeller center,empire state building","route,establishment,museum"
"statue of liberty,staten island ferry,ellis island","establishment,route,establishment"
new york university,university
empire state building,museum
"metropolitan museum of art,new york aquarium","art_gallery,aquarium"
"st patricks cathedral,national museum of the american indian,chelsea art museum,museum of sex,empire state building","church,museum,art_gallery,museum,museum"
"empire state building,wollman skating rink","museum,establishment"
"american museum of natural history,central park,metropolitan museum of art,empire state building,brooklyn bridge","museum,park,art_gallery,museum,establishment"
"new york university,new york public library","university,library"
"empire state building,brooklyn bridge","museum,establishment"
rockefeller center,establishment
new york university,university
"statue of liberty,central park,new york university","establishment,park,university"
chelsea hotel,lodging
new york university,university
"central park,chrysler building,metropolitan museum of art,chinatown,battery park,empire state building,solomon r guggenheim museum","park,establishment,art_gallery,neighborhood,park,museum,museum"
new york university,university
new york aquarium,aquarium
"coney island boardwalk,new york aquarium,museum at fit","route,aquarium,museum"
"new york aquarium,new york stock exchange,radio city music hall,empire state building,yankee stadium","aquarium,finance,establishment,museum,stadium"
new york university,university
new york aquarium,aquarium
"new york university,empire state building,riverside park","university,museum,park"
city hall,local_government_office
"chinatown,coney island boardwalk","neighborhood,route"
new york aquarium,aquarium
"rockefeller center,st patricks cathedral","establishment,church"
statue of liberty,establishment
grand central terminal,transit_station
"grand central terminal,empire state building,brooklyn bridge,st pauls chapel,herald square","transit_station,museum,establishment,church,town_square"
new york aquarium,aquarium
american museum of natural history,museum
"bryant park,new york university,city hall,st patricks cathedral,union sq,mulberry st,metropolitan museum of art,rockefeller center,staten island ferry,radio city music hall,herald square","park,university,local_government_office,church,political,route,art_gallery,establishment,route,establishment,town_square"
"madison sq park,chrysler building,st patricks cathedral,radio city music hall,empire state building","park,establishment,church,establishment,museum"
"central park,new york university","park,university"
museum of television and radio,museum
staten island ferry,route
111 front street,street_address
"chelsea hotel,madison sq park,chrysler building,grand central terminal,st patricks cathedral,washington mews,rockefeller center,staten island ferry,radio city music hall,museum of television and radio,new york public library","lodging,park,establishment,transit_station,church,route,establishment,route,establishment,museum,library"
"american museum of natural history,staten island ferry,empire state building","museum,route,museum"
metropolitan museum of art,art_gallery
"central park,chrysler building,grand central terminal,empire state building,brooklyn bridge","park,establishment,transit_station,museum,establishment"
"grand central terminal,st patricks cathedral,rockefeller center,staten island ferry,radio city music hall,the dakota,solomon r guggenheim museum,wollman skating rink","transit_station,church,establishment,route,establishment,establishment,museum,establishment"
"the dakota,staten island ferry,statue of liberty,empire state building","establishment,route,establishment,museum"
"chelsea art museum,solomon r guggenheim museum,radio city music hall,wollman skating rink","art_gallery,museum,establishment,establishment"
chrysler building,establishment
new york university,university
"new york aquarium,central park","aquarium,park"
new york university,university
new york aquarium,aquarium
new york aquarium,aquarium
new york university,university
"new york transit museum,grand central terminal,new-york historical society,st patricks cathedral,mulberry st,metropolitan museum of art,grace church,yankee stadium,herald square","museum,transit_station,museum,church,route,art_gallery,church,stadium,town_square"
chelsea art museum,art_gallery
brooklyn bridge,establishment
statue of liberty,establishment
"central park,madison sq park,riverside church,rockefeller center,staten island ferry","park,park,church,establishment,route"
st marks in the bowery,church
"new york aquarium,new york university","aquarium,university"
new york university,university
"new york university,brooklyn bridge,moma","university,establishment,art_gallery"
new york university,university
"central park,brooklyn bridge","park,establishment"
"new york university,tompkins square park,union sq,staten island ferry,wollman skating rink","university,park,political,route,establishment"
central park,park
"grand central terminal,chrysler building,union sq,radio city music hall,brooklyn bridge,drawing center","transit_station,establishment,political,establishment,establishment,museum"
new york university,university
new york university,university
central park,park
"new york university,new york aquarium,brooklyn bridge","university,aquarium,establishment"
new york aquarium,aquarium
"new york university,madison sq park,st patricks cathedral,union sq,chelsea art museum,rockefeller center,staten island ferry,empire state building,radio city music hall,herald square","university,park,church,political,art_gallery,establishment,route,museum,establishment,town_square"
"bryant park,grand central terminal,chrysler building,st patricks cathedral,new york stock exchange,chelsea art museum,radio city music hall,solomon r guggenheim museum","park,transit_station,establishment,church,finance,art_gallery,establishment,museum"
empire state building,museum
"museum of sex,washington sq park,wollman skating rink","museum,park,establishment"
new york university,university
new york aquarium,aquarium
new york aquarium,aquarium
"federal hall,rockefeller center,st pauls chapel,111 front street","museum,establishment,church,street_address"
"st marks in the bowery,bryant park","church,park"
new york aquarium,aquarium
new york university,university
museum of modern art,museum
"american museum of natural history,new york university","museum,university"
new york fire museum,museum
"staten island ferry,statue of liberty,empire state building","route,establishment,museum"
rockefeller center,establishment
rockefeller center,establishment
"new york stock exchange,chrysler building,new york public library","finance,establishment,library"
metropolitan museum of art,art_gallery
new york aquarium,aquarium
new york university,university
central park,park
new york university,university
"united nations,new york university","establishment,university"
"american museum of natural history,grace church,empire state building","museum,church,museum"
new york university,university
"new york university,new york aquarium,empire state building","university,aquarium,museum"
columbus park,park
staten island ferry,route
statue of liberty,establishment
new york university,university
new york university,university
"tenement museum,st patricks cathedral,south st seaport","museum,church,route"
washington mews,route
"new york stock exchange,federal hall,grand central terminal,st pauls chapel","finance,museum,transit_station,church"
"bryant park,grand central terminal,mulberry st,bowling green,ground zero,metropolitan museum of art,chelsea art museum,rockefeller center,staten island ferry,empire state building,brooklyn bridge,federal hall,herald square","park,transit_station,route,park,establishment,art_gallery,art_gallery,establishment,route,museum,establishment,museum,town_square"
new york aquarium,aquarium
"union sq,battery park,rockefeller center,staten island ferry,statue of liberty,federal hall","political,park,establishment,route,establishment,museum"
museum of television and radio,museum
"new york stock exchange,radio city music hall,new york university","finance,establishment,university"
new museum of contemporary art,museum
"south st seaport,new york university","route,university"
"new york aquarium,statue of liberty","aquarium,establishment"
"chelsea hotel,solomon r guggenheim museum,madison sq park,chrysler building,grand central terminal,st patricks cathedral,metropolitan museum of art,empire state building,radio city music hall,cathedral of st john the divine,museum of television and radio","lodging,museum,park,establishment,transit_station,church,art_gallery,museum,establishment,church,museum"
new york university,university
"ellis island,ground zero","establishment,establishment"
"new york university,brooklyn bridge","university,establishment"
new york university,university
"metropolitan museum of art,statue of liberty,st patricks cathedral,ellis island","art_gallery,establishment,church,establishment"
"chrysler building,empire state building","establishment,museum"
"rockefeller center,st patricks cathedral,brooklyn bridge","establishment,church,establishment"
moma,art_gallery
metropolitan museum of art,art_gallery
"chelsea art museum,empire state building","art_gallery,museum"
"lincoln center,grand central terminal,st patricks cathedral,bowling green,rockefeller center,statue of liberty,empire state building,united nations","establishment,transit_station,church,park,establishment,establishment,museum,establishment"
"grace church,ground zero","church,establishment"
new york aquarium,aquarium
new york university,university
brooklyn bridge,establishment
"south st seaport,herald square","route,town_square"
new york university,university
"new york stock exchange,chrysler building,new york university","finance,establishment,university"
new york university,university
"battery park,grand central terminal,grace church,new york university","park,transit_station,church,university"
new york university,university
rockefeller center,establishment
"grand central terminal,st patricks cathedral,staten island ferry,museum of sex,empire state building,museum of television and radio","transit_station,church,route,museum,museum,museum"
"new york transit museum,new york aquarium,new york fire museum,statue of liberty,empire state building","museum,aquarium,museum,establishment,museum"
"chrysler building,union sq","establishment,political"
staten island ferry,route
"ground zero,chinatown,battery park,empire state building,yankee stadium","establishment,neighborhood,park,museum,stadium"
"ellis island,central park,new york university,metropolitan museum of art,statue of liberty","establishment,park,university,art_gallery,establishment"
"federal hall,st pauls chapel","museum,church"
"new york stock exchange,federal hall,central park,united nations","finance,museum,park,establishment"
"new york aquarium,bryant park","aquarium,park"
"washington mews,washington sq park","route,park"
new york university,university
new york university,university
"chelsea hotel,new york aquarium","lodging,aquarium"
"madison sq park,staten island ferry,bryant park","park,route,park"
empire state building,museum
cathedral of st john the divine,church
new york university,university
empire state building,museum
new york aquarium,aquarium
"chelsea hotel,grand central terminal,statue of liberty","lodging,transit_station,establishment"
world trade center site,premise
"chrysler building,grand central terminal,st patricks cathedral,ground zero,rockefeller center,staten island ferry,statue of liberty,empire state building,brooklyn bridge,st pauls chapel,museum of television and radio","establishment,transit_station,church,establishment,establishment,route,establishment,museum,establishment,church,museum"
new york university,university
wollman skating rink,establishment
